id,learningEdge,congestion,density,gpsProbeSpeed,speed
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.05,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.08,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.71,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.35,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.2,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.13,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.23,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02215657,8.5,8.89
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.67,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.85,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.89,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.88,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.08,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,9.32,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,9.24,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02363368,8.92,8.88
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.68,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.52,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,8.23,8.87
13/12to13/13,"['3/2to3/3', '3/1to3/2', '4/3to4/4']",C,0.02511078,7.84,8.87
